Date time, Open, High, Low, Close, MA9, MA26, MA52, MA104, RSI
2021.05.28 00:00:00,1.42022000,1.42080000,1.41362000,1.41876000,1.41608222,1.40380885,1.39234000,1.38596490,60.58216206
2021.05.31 00:00:00,1.41811000,1.42174000,1.41635000,1.42093000,1.41635667,1.40505846,1.39288173,1.38652635,62.60473522
2021.06.01 00:00:00,1.42090000,1.42489000,1.41463000,1.41473000,1.41674000,1.40601692,1.39342808,1.38704510,56.43628241
2021.06.02 00:00:00,1.41473000,1.41832000,1.41116000,1.41693000,1.41652000,1.40701154,1.39402538,1.38762856,58.01406664
2021.06.03 00:00:00,1.41692000,1.42026000,1.40863000,1.41039000,1.41600333,1.40766846,1.39470712,1.38815096,51.96021630
2021.06.04 00:00:00,1.41039000,1.42003000,1.40831000,1.41646000,1.41611111,1.40853269,1.39562558,1.38877885,55.54389407
2021.06.07 00:00:00,1.41543000,1.41910000,1.41113000,1.41803000,1.41646000,1.40994731,1.39647615,1.38927663,57.60012739
2021.06.08 00:00:00,1.41801000,1.41844000,1.41209000,1.41548000,1.41689444,1.41089615,1.39717442,1.38977760,55.16889418
2021.06.09 00:00:00,1.41551000,1.41887000,1.41100000,1.41149000,1.41591111,1.41177885,1.39785731,1.39018981,51.21591614
2021.06.10 00:00:00,1.41127000,1.41780000,1.40730000,1.41754000,1.41577556,1.41282538,1.39869654,1.39076038,56.28392466
2021.06.11 00:00:00,1.41759000,1.41850000,1.40958000,1.41128000,1.41470333,1.41369077,1.39933712,1.39126769,49.93970723
2021.06.14 00:00:00,1.41046000,1.41237000,1.40702000,1.41070000,1.41425556,1.41415346,1.39986673,1.39172385,50.10648140
2021.06.15 00:00:00,1.41066000,1.41285000,1.40342000,1.40826000,1.41329222,1.41402269,1.40035019,1.39213942,47.85820256
2021.06.16 00:00:00,1.40810000,1.41325000,1.39819000,1.39839000,1.41195889,1.41341846,1.40051423,1.39238317,40.56681536
2021.06.17 00:00:00,1.39848000,1.40086000,1.38958000,1.39229000,1.40927333,1.41292154,1.40070808,1.39261462,36.62575622
2021.06.18 00:00:00,1.39225000,1.39448000,1.37915000,1.37959000,1.40500222,1.41194769,1.40082115,1.39273154,31.89806754
2021.06.21 00:00:00,1.38123000,1.39368000,1.37862000,1.39326000,1.40253333,1.41131731,1.40120596,1.39292067,41.99771012
2021.06.22 00:00:00,1.39326000,1.39635000,1.38601000,1.39459000,1.40065556,1.41058000,1.40167423,1.39317135,42.98597031
2021.06.23 00:00:00,1.39456000,1.40011000,1.39238000,1.39599000,1.39826111,1.40971577,1.40209962,1.39340385,44.09695929
2021.06.24 00:00:00,1.39598000,1.39860000,1.38895000,1.39216000,1.39613667,1.40898038,1.40242827,1.39361875,41.73190257
2021.06.25 00:00:00,1.39216000,1.39353000,1.38713000,1.38814000,1.39363000,1.40779692,1.40262846,1.39383154,39.48001740
2021.06.28 00:00:00,1.38829000,1.39392000,1.38709000,1.38809000,1.39138889,1.40676038,1.40281692,1.39403731,39.16171467
2021.06.29 00:00:00,1.38786000,1.38847000,1.38139000,1.38351000,1.38973556,1.40553038,1.40280673,1.39422154,36.46126784
2021.06.30 00:00:00,1.38337000,1.38726000,1.37986000,1.38288000,1.38869000,1.40429923,1.40250712,1.39437279,36.20258606
2021.07.01 00:00:00,1.38291000,1.38344000,1.37527000,1.37613000,1.38830556,1.40293615,1.40216904,1.39439683,32.27386465
2021.07.02 00:00:00,1.37604000,1.38443000,1.37308000,1.38316000,1.38718333,1.40150615,1.40198538,1.39448692,39.27122874
2021.07.05 00:00:00,1.38275000,1.38618000,1.38172000,1.38439000,1.38605000,1.40018423,1.40199654,1.39451433,40.72407656
2021.07.06 00:00:00,1.38439000,1.38978000,1.37728000,1.37979000,1.38425000,1.39860192,1.40183019,1.39448212,37.78660017
2021.07.07 00:00:00,1.37984000,1.38416000,1.37537000,1.37991000,1.38288889,1.39726269,1.40163981,1.39446750,37.86132646
2021.07.08 00:00:00,1.37991000,1.38051000,1.37420000,1.37852000,1.38182000,1.39578538,1.40139846,1.39440202,36.91318657
2021.07.09 00:00:00,1.37852000,1.39003000,1.37551000,1.38994000,1.38202556,1.39499885,1.40133365,1.39440173,48.00293197
2021.07.12 00:00:00,1.38951000,1.39097000,1.38390000,1.38805000,1.38253000,1.39390615,1.40121942,1.39438096,46.84170915
